"REF_DATE","GEO","DGUID","Selected characteristics of health care access and experiences","Indigenous group","Gender","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Inuk (Inuit)","Total, gender","Percentage","Percent","239","units","0","v1663833870","1.1.3.1.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Inuk (Inuit)","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833871","1.1.3.1.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Inuk (Inuit)","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833872","1.1.3.1.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Inuk (Inuit)","Men+","Percentage","Percent","239","units","0","v1663833873","1.1.3.2.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Inuk (Inuit)","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833874","1.1.3.2.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Inuk (Inuit)","Men+","High 95% confidence interval","Percent","239","units","0","v1663833875","1.1.3.2.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Inuk (Inuit)","Women+","Percentage","Percent","239","units","0","v1663833876","1.1.3.3.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Inuk (Inuit)","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833877","1.1.3.3.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Inuk (Inuit)","Women+","High 95% confidence interval","Percent","239","units","0","v1663833878","1.1.3.3.3","100.0","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","First Nations","Total, gender","Percentage","Percent","239","units","0","v1663833879","1.2.1.1.1","32.4","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","First Nations","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833880","1.2.1.1.2","28.6","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","First Nations","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833881","1.2.1.1.3","36.3","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","First Nations","Men+","Percentage","Percent","239","units","0","v1663833882","1.2.1.2.1","24.4","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","First Nations","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833883","1.2.1.2.2","19.2","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","First Nations","Men+","High 95% confidence interval","Percent","239","units","0","v1663833884","1.2.1.2.3","30.3","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","First Nations","Women+","Percentage","Percent","239","units","0","v1663833885","1.2.1.3.1","38.6","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","First Nations","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833886","1.2.1.3.2","33.1","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","First Nations","Women+","High 95% confidence interval","Percent","239","units","0","v1663833887","1.2.1.3.3","44.2","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Métis","Total, gender","Percentage","Percent","239","units","0","v1663833888","1.2.2.1.1","29.9","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Métis","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833889","1.2.2.1.2","25.4","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Métis","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833890","1.2.2.1.3","34.7","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Métis","Men+","Percentage","Percent","239","units","0","v1663833891","1.2.2.2.1","25.5","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Métis","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833892","1.2.2.2.2","19.9","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Métis","Men+","High 95% confidence interval","Percent","239","units","0","v1663833893","1.2.2.2.3","31.8","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Métis","Women+","Percentage","Percent","239","units","0","v1663833894","1.2.2.3.1","33.9","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Métis","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833895","1.2.2.3.2","27.0","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Métis","Women+","High 95% confidence interval","Percent","239","units","0","v1663833896","1.2.2.3.3","41.3","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Inuk (Inuit)","Total, gender","Percentage","Percent","239","units","0","v1663833897","1.2.3.1.1","28.5","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Inuk (Inuit)","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833898","1.2.3.1.2","23.9","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Inuk (Inuit)","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833899","1.2.3.1.3","33.5","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Inuk (Inuit)","Men+","Percentage","Percent","239","units","0","v1663833900","1.2.3.2.1","25.7","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Inuk (Inuit)","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833901","1.2.3.2.2","19.0","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Inuk (Inuit)","Men+","High 95% confidence interval","Percent","239","units","0","v1663833902","1.2.3.2.3","33.4","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Inuk (Inuit)","Women+","Percentage","Percent","239","units","0","v1663833903","1.2.3.3.1","30.9","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Inuk (Inuit)","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833904","1.2.3.3.2","24.3","","","","1"
"2024","Canada","2021A000011124","Yes, had an unmet health care need in the past 12 months","Inuk (Inuit)","Women+","High 95% confidence interval","Percent","239","units","0","v1663833905","1.2.3.3.3","38.0","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","First Nations","Total, gender","Percentage","Percent","239","units","0","v1663833906","1.3.1.1.1","67.6","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","First Nations","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833907","1.3.1.1.2","63.7","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","First Nations","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833908","1.3.1.1.3","71.4","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","First Nations","Men+","Percentage","Percent","239","units","0","v1663833909","1.3.1.2.1","75.6","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","First Nations","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833910","1.3.1.2.2","69.7","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","First Nations","Men+","High 95% confidence interval","Percent","239","units","0","v1663833911","1.3.1.2.3","80.8","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","First Nations","Women+","Percentage","Percent","239","units","0","v1663833912","1.3.1.3.1","61.4","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","First Nations","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833913","1.3.1.3.2","55.8","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","First Nations","Women+","High 95% confidence interval","Percent","239","units","0","v1663833914","1.3.1.3.3","66.9","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Métis","Total, gender","Percentage","Percent","239","units","0","v1663833915","1.3.2.1.1","70.1","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Métis","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833916","1.3.2.1.2","65.3","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Métis","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833917","1.3.2.1.3","74.6","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Métis","Men+","Percentage","Percent","239","units","0","v1663833918","1.3.2.2.1","74.5","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Métis","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833919","1.3.2.2.2","68.2","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Métis","Men+","High 95% confidence interval","Percent","239","units","0","v1663833920","1.3.2.2.3","80.1","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Métis","Women+","Percentage","Percent","239","units","0","v1663833921","1.3.2.3.1","66.1","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Métis","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833922","1.3.2.3.2","58.7","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Métis","Women+","High 95% confidence interval","Percent","239","units","0","v1663833923","1.3.2.3.3","73.0","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Inuk (Inuit)","Total, gender","Percentage","Percent","239","units","0","v1663833924","1.3.3.1.1","71.5","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Inuk (Inuit)","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833925","1.3.3.1.2","66.5","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Inuk (Inuit)","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833926","1.3.3.1.3","76.1","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Inuk (Inuit)","Men+","Percentage","Percent","239","units","0","v1663833927","1.3.3.2.1","74.3","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Inuk (Inuit)","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833928","1.3.3.2.2","66.6","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Inuk (Inuit)","Men+","High 95% confidence interval","Percent","239","units","0","v1663833929","1.3.3.2.3","81.0","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Inuk (Inuit)","Women+","Percentage","Percent","239","units","0","v1663833930","1.3.3.3.1","69.1","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Inuk (Inuit)","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833931","1.3.3.3.2","62.0","","","","1"
"2024","Canada","2021A000011124","No, did not have an unmet health care need in the past 12 months","Inuk (Inuit)","Women+","High 95% confidence interval","Percent","239","units","0","v1663833932","1.3.3.3.3","75.7","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Total, gender","Percentage","Percent","239","units","0","v1663833933","1.4.1.1.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833934","1.4.1.1.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833935","1.4.1.1.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Men+","Percentage","Percent","239","units","0","v1663833936","1.4.1.2.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833937","1.4.1.2.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Men+","High 95% confidence interval","Percent","239","units","0","v1663833938","1.4.1.2.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Women+","Percentage","Percent","239","units","0","v1663833939","1.4.1.3.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833940","1.4.1.3.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Women+","High 95% confidence interval","Percent","239","units","0","v1663833941","1.4.1.3.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Total, gender","Percentage","Percent","239","units","0","v1663833942","1.4.2.1.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833943","1.4.2.1.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833944","1.4.2.1.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Men+","Percentage","Percent","239","units","0","v1663833945","1.4.2.2.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833946","1.4.2.2.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Men+","High 95% confidence interval","Percent","239","units","0","v1663833947","1.4.2.2.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Women+","Percentage","Percent","239","units","0","v1663833948","1.4.2.3.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833949","1.4.2.3.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Women+","High 95% confidence interval","Percent","239","units","0","v1663833950","1.4.2.3.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Total, gender","Percentage","Percent","239","units","0","v1663833951","1.4.3.1.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833952","1.4.3.1.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833953","1.4.3.1.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Men+","Percentage","Percent","239","units","0","v1663833954","1.4.3.2.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833955","1.4.3.2.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Men+","High 95% confidence interval","Percent","239","units","0","v1663833956","1.4.3.2.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Women+","Percentage","Percent","239","units","0","v1663833957","1.4.3.3.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833958","1.4.3.3.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Women+","High 95% confidence interval","Percent","239","units","0","v1663833959","1.4.3.3.3","100.0","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Total, gender","Percentage","Percent","239","units","0","v1663833960","1.5.1.1.1","66.2","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833961","1.5.1.1.2","61.7","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833962","1.5.1.1.3","70.5","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Men+","Percentage","Percent","239","units","0","v1663833963","1.5.1.2.1","55.8","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833964","1.5.1.2.2","48.7","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Men+","High 95% confidence interval","Percent","239","units","0","v1663833965","1.5.1.2.3","62.6","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Women+","Percentage","Percent","239","units","0","v1663833966","1.5.1.3.1","74.3","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833967","1.5.1.3.2","68.1","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Women+","High 95% confidence interval","Percent","239","units","0","v1663833968","1.5.1.3.3","79.8","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Total, gender","Percentage","Percent","239","units","0","v1663833969","1.5.2.1.1","70.2","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833970","1.5.2.1.2","65.0","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833971","1.5.2.1.3","75.0","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Men+","Percentage","Percent","239","units","0","v1663833972","1.5.2.2.1","65.5","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833973","1.5.2.2.2","58.3","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Men+","High 95% confidence interval","Percent","239","units","0","v1663833974","1.5.2.2.3","72.2","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Women+","Percentage","Percent","239","units","0","v1663833975","1.5.2.3.1","74.4","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833976","1.5.2.3.2","67.3","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Métis","Women+","High 95% confidence interval","Percent","239","units","0","v1663833977","1.5.2.3.3","80.7","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Total, gender","Percentage","Percent","239","units","0","v1663833978","1.5.3.1.1","52.2","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833979","1.5.3.1.2","44.8","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833980","1.5.3.1.3","59.6","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Men+","Percentage","Percent","239","units","0","v1663833981","1.5.3.2.1","44.8","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833982","1.5.3.2.2","34.5","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Men+","High 95% confidence interval","Percent","239","units","0","v1663833983","1.5.3.2.3","55.4","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Women+","Percentage","Percent","239","units","0","v1663833984","1.5.3.3.1","58.4","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833985","1.5.3.3.2","50.9","","","","1"
"2024","Canada","2021A000011124","Yes, consulted a health care provider for a non-urgent primary health care need in the past 12 months","Inuk (Inuit)","Women+","High 95% confidence interval","Percent","239","units","0","v1663833986","1.5.3.3.3","65.6","","","","1"
"2024","Canada","2021A000011124","No, did not consult a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Total, gender","Percentage","Percent","239","units","0","v1663833987","1.6.1.1.1","33.8","","","","1"
"2024","Canada","2021A000011124","No, did not consult a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833988","1.6.1.1.2","29.5","","","","1"
"2024","Canada","2021A000011124","No, did not consult a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833989","1.6.1.1.3","38.3","","","","1"
"2024","Canada","2021A000011124","No, did not consult a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Men+","Percentage","Percent","239","units","0","v1663833990","1.6.1.2.1","44.2","","","","1"
"2024","Canada","2021A000011124","No, did not consult a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833991","1.6.1.2.2","37.4","","","","1"
"2024","Canada","2021A000011124","No, did not consult a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Men+","High 95% confidence interval","Percent","239","units","0","v1663833992","1.6.1.2.3","51.3","","","","1"
"2024","Canada","2021A000011124","No, did not consult a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Women+","Percentage","Percent","239","units","0","v1663833993","1.6.1.3.1","25.7","","","","1"
"2024","Canada","2021A000011124","No, did not consult a health care provider for a non-urgent primary health care need in the past 12 months","First Nations","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833994","1.6.1.3.2","20.2","","","","1"
